,MAE_AR_HEXOG,MAPE_AR_HEXOG,MAE_LGBM_HEXOG,MAPE_LGBM_HEXOG,MAE_AR_NonHEXOG,MAPE_AR_NonHEXOG,MAE_LGBM_NonHEXOG,MAPE_LGBM_NonHEXOG,new_index
1970-01-01 00:00:00.000000000,6192.246047811813,0.17184721525781352,5694.220612403288,0.15722181880077657,3605.2519050669507,0.1000880544062781,3597.0993400648636,0.10093398128704816,2018-09-11
1970-01-01 00:00:00.000000001,7526.080128010427,0.21226096733826672,7207.69666917242,0.20064958744695416,4360.90906195554,0.12259136740971265,4015.248473685589,0.1132935648202461,2018-09-29
1970-01-01 00:00:00.000000002,6322.316185682556,0.18371222501258436,5458.5525165632425,0.15498579534181267,3633.298236841952,0.10453612008722586,3215.2469296871805,0.09264251233421067,2018-12-16
1970-01-01 00:00:00.000000003,5078.268212933787,0.14925009535534237,4418.657419714803,0.12795265130621158,3076.4170785648203,0.09063292822882102,2726.8322189259184,0.08033215283628052,2018-12-24
1970-01-01 00:00:00.000000004,4219.32198659319,0.1249363143039,3679.5160670315295,0.10739407116501114,2611.209089153604,0.07783769921637546,2342.940264453471,0.07013648459223941,2018-12-30
1970-01-01 00:00:00.000000005,4140.639918129634,0.1287054997423789,3629.614527938398,0.1116994971019686,2760.3522259832453,0.08815550734953817,2618.6941795219464,0.08448175516974274,2018-11-20
1970-01-01 00:00:00.000000006,3959.982362437512,0.12206947589738086,3572.9261811859615,0.10914779932920345,2858.17348047159,0.09007933615497009,2542.1642835911052,0.08137305380691018,2018-10-04
1970-01-01 00:00:00.000000007,3930.4084307331013,0.12160043113759583,3817.8854495186247,0.11729264534754714,2828.6509009102774,0.08897442250476932,2639.214689579915,0.08435233636787744,2018-12-15
1970-01-01 00:00:00.000000008,3719.7947439349523,0.11743753643765498,3674.948728328579,0.11545251638857325,3005.524559313871,0.0999851526572882,2697.520923276646,0.0893087700118689,2018-10-22
1970-01-01 00:00:00.000000009,3454.585694473231,0.10978966651713025,3597.0369995099672,0.11388207676883016,2866.477891674142,0.09603881013742639,2575.4130745628236,0.0854514716547298,2018-12-04
1970-01-01 00:00:00.000000010,3279.5474100576494,0.10437429895999496,3331.847208298723,0.10553819715067204,2813.948921844795,0.09402323084611076,2532.0906199348333,0.08391567349751536,2018-12-26
1970-01-01 00:00:00.000000011,3315.28506612553,0.10800265170899148,3338.457087023921,0.10814689717222235,2914.182480461684,0.10003791209407337,2662.651294088066,0.09051465195848281,2018-09-26
1970-01-01 00:00:00.000000012,3214.0617987498895,0.10445270912895001,3279.492523798251,0.10614146666083539,2930.569836659643,0.09983885390072657,2618.7872041974674,0.08871984604250872,2018-10-09
1970-01-01 00:00:00.000000013,3134.053664078968,0.10177506491753889,3193.905995000817,0.10338667829889162,2923.7027820553735,0.0991092340436676,2581.3458258199457,0.08726183804536149,2018-10-03
1970-01-01 00:00:00.000000014,2994.8865372006408,0.0976601485446499,3079.4348850715555,0.10017832843178721,2877.140492335614,0.09833235652074386,2497.996744204611,0.08481869384652721,2018-11-16
1970-01-01 00:00:00.000000015,2915.8575619822077,0.0960056296800128,3016.959953029196,0.09899332447627056,2959.7459105648654,0.10340972606408462,2407.6395799325005,0.08208878617853625,2018-11-18
1970-01-01 00:00:00.000000016,2893.9298791799893,0.09522401590415414,2899.278967098218,0.09525634653519585,3008.1337594689503,0.10496885570016166,2373.7494345191794,0.08082002740445468,2018-09-09
1970-01-01 00:00:00.000000017,2838.083372089113,0.09329159399153679,2771.0991857685353,0.09101623599504267,3033.502931394097,0.10534757924570505,2333.269654739781,0.07924950121453095,2018-10-20
1970-01-01 00:00:00.000000018,2782.153490663838,0.09127707870169663,2686.8891310071076,0.08817781682901754,3074.5975691872595,0.10619030474932972,2327.4800301531977,0.07873199125151426,2018-12-09
1970-01-01 00:00:00.000000019,2753.6971347687963,0.09009828364565725,2662.526578611223,0.08724497160079399,3123.254344130548,0.10723655789972505,2308.469984232809,0.07778016017709694,2018-09-12
1970-01-01 00:00:00.000000020,2733.2243906004373,0.08928709158814678,2638.2326520401116,0.08636937905530892,3156.90570246624,0.10791830291845306,2296.666738308867,0.07714161887940818,2018-09-24
1970-01-01 00:00:00.000000021,2654.035630038702,0.08691615818758842,2625.270177552184,0.08627047866976303,3128.2536327617727,0.10741429277261438,2315.2066319804217,0.07802390209720392,2018-09-17
1970-01-01 00:00:00.000000022,2603.010407381308,0.08573960464669074,2598.520978792343,0.08587700808779979,3149.849509942949,0.10941193482220286,2329.1684229828466,0.07898223223250643,2018-10-23
1970-01-01 00:00:00.000000023,2620.8770455815447,0.08626116273419791,2518.557287418353,0.08325109303182872,3207.222078249612,0.11114060633798209,2364.247332092198,0.0799494192639182,2018-10-05
1970-01-01 00:00:00.000000024,2597.6872413662745,0.08543889436591516,2466.151818848805,0.08154125955035924,3236.983989433699,0.11177504648667692,2343.5102090270934,0.07911369625914448,2018-11-03
1970-01-01 00:00:00.000000025,2554.3537383368457,0.08398277441508459,2448.2235633910655,0.08091023760879205,3258.608984011632,0.11225879905524408,2315.914532775941,0.07808516874043515,2018-11-26
1970-01-01 00:00:00.000000026,2507.319528132096,0.08240903234341362,2432.8028663184164,0.0804103573118485,3274.570191550225,0.11268368902188278,2266.2765959923477,0.07635351958561139,2018-12-31
1970-01-01 00:00:00.000000027,2463.625618351825,0.08100186086309824,2410.5005422645963,0.07970882148244861,3279.98447270582,0.11283838612171339,2217.115254077972,0.07466120297069989,2018-11-28
